Title,ID,Country,Focal Areas,Type,Agencies,GEF Grant,Cofinancing,Status,Year (aproved year),Funding Source (indexed field),Non-Grant Instrument (indexed field),Capacity-building Initiative for Transparency,GEF Period,Total Fund
"Promotion of circular economy in the textile and garment sector through the sustainable management of chemicals and waste in Lesotho, Madagascar and South Africa",10543,Lesotho,Chemicals and Waste,Full-size Project,United Nations Industrial Development Organization,7400000,47433838,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,54833838
Technology Needs Assessments (TNA) Phase IV,10171,Lesotho,Climate Change,Enabling Activity,United Nations Environment Programme,4590000,1535000,Project Approved,2020,GEF Trust Fund,No,No,GEF - 7,6125000
GEF Support to UNCCD 2018 National Reporting Process - Umbrella IV,10030,Lesotho,Land Degradation,Enabling Activity,United Nations Environment Programme,1598174,300000,Project Approved,2018,GEF Trust Fund,No,No,GEF - 6,1898174
Integrated Watershed Management for Improved Agro-pastoral Livelihoods in the Sepabala Sub-catchment,10020,Lesotho,Land Degradation,Full-size Project,United Nations Development Programme,2101826,3400000,Project Approved,2021,GEF Trust Fund,No,No,GEF - 6,5501826
Support to Preparation of the Interim National Report on the Implementation of the Nagoya Protocol,9866,Lesotho,Biodiversity,Medium-size Project,United Nations Environment Programme,1430000,1111321,Project Approved,2017,GEF Trust Fund,No,No,GEF - 6,2541321
"Support to Eligible Parties to Produce the Sixth National Report to the CBD – (Global: Africa-3, Maldives, Nicaragua, Pakistan and Solomon Islands)",9832,Lesotho,Biodiversity,Medium-size Project,United Nations Environment Programme,1963500,1129495,Project Approved,2017,GEF Trust Fund,No,No,GEF - 6,3092995
"Promoting Conservation, Sustainable Utilization and Fair and Equitable Benefit-sharing from Lesotho's Medicinal and Ornamental Plants for Improved livelihoods",9799,Lesotho,Biodiversity,Full-size Project,United Nations Development Programme,2913699,4500000,Project Approved,2024,GEF Trust Fund,No,No,GEF - 6,7413699
Development of Minamata Initial Assessment,9185,Lesotho,Chemicals and Waste,Enabling Activity,United Nations Environment Programme,800000,61000,Project Approved,2015,GEF Trust Fund,No,No,GEF - 6,861000
Support to Preparation of the Third National Biosafety Reports to the Cartagena Protocol on Biosafety - AFRICA REGION,9118,Lesotho,Biodiversity,Medium-size Project,United Nations Environment Programme,1368550,1225000,Project Approved,2015,GEF Trust Fund,No,No,GEF - 6,2593550
Support to the Orange-Senqu River Strategic Action Programme Implementation,9054,Lesotho,International Waters,Full-size Project,United Nations Development Programme,10815137,364474492,Project Approved,2018,GEF Trust Fund,No,No,GEF - 6,375289629
Preparation of  Intended Nationally Determined Contribution (INDC) to the 2015 Agreement under the United Nations Framework Convention on Climate Change (UNFCCC),8024,Lesotho,Climate Change,Medium-size Project,United Nations Environment Programme,1800000,180000,Project Approved,2015,GEF Trust Fund,No,No,GEF - 6,1980000
Climate Change Adaptation for Sustainable Rural Water Supply in Lowlands Lesotho,8014,Lesotho,Climate Change,Full-size Project,African Development Bank,4416210,16040000,Project Approved,2018,Least Developed Countries Fund,No,No,GEF - 6,20456210
Strengthening Climate Services in Lesotho for Climate Resilient Development and Adaptation to Climate Change,6926,Lesotho,Climate Change,Full-size Project,United Nations Environment Programme,5000000,37060000,Project Approved,2019,Least Developed Countries Fund,No,No,GEF - 6,42060000
Umbrella Programme for Biennial Update Report to the United National Framework Convention on Climate Change (UNFCCC),6925,Lesotho,Climate Change,Full-size Project,United Nations Environment Programme,14414400,1393400,Project Approved,2015,GEF Trust Fund,No,No,GEF - 6,15807800
Development of Cornerstone Public Policies and Institutional Capacities to Accelerate Sustainable Energy for All (SE4A) Progress,5742,Lesotho,Climate Change,Full-size Project,United Nations Development Programme,3500000,19267837,Project Approved,2016,GEF Trust Fund,No,No,GEF - 5,22767837
Disposal of  PCB Oils Contained in Transformers and Disposal of Capacitors Containing PCB in Southern Africa,5532,Lesotho,"Chemicals and Waste, Chemicals and Waste",Full-size Project,United Nations Environment Programme,7710000,33661319,Project Approved,2016,GEF Trust Fund,No,No,GEF - 5,41371319
Promotion of BAT and BEP to Reduce uPOPs Releases from Waste Open Burning in the Participating African Countries of COMESA-SADC Subregions,5322,Lesotho,"Chemicals and Waste, Chemicals and Waste",Full-size Project,United Nations Industrial Development Organization,6615000,28361000,Project Approved,2016,GEF Trust Fund,No,No,GEF - 5,34976000
Multi-Country Project to Strengthen Institutional Capacity on LMO Testing in Support of National Decision-making,5283,Lesotho,Biodiversity,Full-size Project,United Nations Environment Programme,3860000,6546752,Project Approved,2016,GEF Trust Fund,No,No,GEF - 5,10406752
Enabling Activities to Review and Update the National Implementation Plan for the Stockholm Convention on Persistent Organic Pollutants (POPs),5181,Lesotho,Chemicals and Waste,Enabling Activity,United Nations Industrial Development Organization,150000,235000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,385000
Strengthening Capacity for Climate Change Adaptation through Support to Integrated Watershed Management Programme in Lesotho,5124,Lesotho,Climate Change,Full-size Project,Food and Agriculture Organization,3592694,8437000,Completed,2015,Least Developed Countries Fund,No,No,GEF - 5,12029694
"Reducing Vulnerability from Climate Change in the Foothills, Lowlands and the Lower Senqu River Basin",5075,Lesotho,Climate Change,Full-size Project,United Nations Development Programme,8398172,27600000,Completed,2015,Least Developed Countries Fund,No,No,GEF - 5,35998172
Alignment of Lesotho s National Action Plan with UNCCD,5009,Lesotho,Land Degradation,Enabling Activity,Food and Agriculture Organization,136364,150000,Completed,2012,GEF Trust Fund,No,No,GEF - 5,286364
Sustainable Groundwater Management in SADC Member States,4966,Lesotho,International Waters,Full-size Project,The World Bank,8200000,42608000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,50808000
Decision Support for Mainstreaming and Scaling up of Sustainable Land Management,4922,Lesotho,Land Degradation,Full-size Project,Food and Agriculture Organization,6116730,38097347,Completed,2014,GEF Trust Fund,No,No,GEF - 5,44214077
Support to GEF Eligible Parties (LDCs & SIDs) for the Revision of the NBSAPs and Development of Fifth National Report to the CBD  - Phase II,4623,Lesotho,Biodiversity,Full-size Project,United Nations Environment Programme,6118200,5513637,Project Approved,2012,GEF Trust Fund,No,No,GEF - 5,11631837
Support to Preparation of the Second National Biosafety Reports to the Cartagena Protocol on Biosafety-Africa,4523,Lesotho,Biodiversity,Medium-size Project,United Nations Environment Programme,993950,840000,Project Approved,2011,GEF Trust Fund,No,No,GEF - 5,1833950
Umbrella Programme for National Communication to the UNFCCC,4498,Lesotho,Climate Change,Full-size Project,United Nations Environment Programme,11330000,2013500,Project Approved,2012,GEF Trust Fund,No,No,GEF - 5,13343500
Adaptation of Small-scale Agriculture (LASAP),4453,Lesotho,Climate Change,Full-size Project,International Fund for Agricultural Development,4330000,21146000,Completed,2014,Least Developed Countries Fund,No,No,GEF - 5,25476000
AFLDC: Capacity Strengthening and Technical Assistance for the Implementation of Stockholm Convention National Implementation Plans (NIPs) in African Least Developed Countries (LDCs) of the SADC  Subregion,3942,Lesotho,Chemicals and Waste,Full-size Project,"United Nations Environment Programme, United Nations Industrial Development Organization",3000000,3749381,Completed,2011,GEF Trust Fund,No,No,GEF - 4,6749381
Improvement of Early Warning System to Reduce Impacts of Climate Change and Capacity Building to Integrate Climate Change into Development Plans,3841,Lesotho,Climate Change,Full-size Project,United Nations Environment Programme,1735000,2721500,Completed,2011,Least Developed Countries Fund,No,No,GEF - 4,4456500
Project for Ecosystem Services (ProEcoServ),3807,Lesotho,Biodiversity,Full-size Project,United Nations Environment Programme,6296637,19620551,Project Approved,2010,GEF Trust Fund,No,No,GEF - 4,25917188
BS Support the Implementation of the National Biosafety Framework of Lesotho,3646,Lesotho,Biodiversity,Medium-size Project,United Nations Environment Programme,884806,817339,Completed,2011,GEF Trust Fund,No,No,GEF - 4,1702145
SIP: Capacity Building and Knowledge Management for Sustainable Land Management,3372,Lesotho,Land Degradation,Full-size Project,United Nations Development Programme,1724500,4670000,Completed,2009,GEF Trust Fund,No,No,GEF - 4,6394500
Development and Adoption of a Strategic Action Program for Balancing Water Uses and Sustainable Natural Resource Management in the Orange-Senqu River Transboundary Basin,2701,Lesotho,International Waters,Full-size Project,United Nations Development Programme,6300000,32065500,Completed,2009,GEF Trust Fund,No,No,GEF - 4,38365500
Sustainable Management of Inland Wetlands in Southern Africa: A Livelihoods and Ecosystem Approach,2052,Lesotho,Land Degradation,Medium-size Project,United Nations Environment Programme,974825,1210716,Completed,2004,GEF Trust Fund,No,No,GEF - 3,2185541
National Adaptation Programme of Action (NAPA),2013,Lesotho,Climate Change,Enabling Activity,United Nations Environment Programme,190000,0,Completed,2003,Least Developed Countries Fund,No,No,GEF - 3,190000
National Capacity Self-Assessment (NCSA) for Global Environmental Management,1933,Lesotho,,Enabling Activity,United Nations Development Programme,200000,0,Completed,2004,GEF Trust Fund,No,No,GEF - 3,200000
Enabling activities to facilitate early action on the implementation of the Stockholm Convention on Persistent Organic Pollutants (POPs) in Lesotho,1654,Lesotho,Chemicals and Waste,Enabling Activity,United Nations Industrial Development Organization,488950,0,Completed,2002,GEF Trust Fund,No,No,GEF - 2,488950
Renewable Energy-based Rural Electrification,1245,Lesotho,Climate Change,Full-size Project,United Nations Development Programme,2500000,4228500,Completed,2006,GEF Trust Fund,Yes,No,GEF - 3,6728500
Expedited financing for (interim) measures for capacity building in priority areas.,851,Lesotho,Climate Change,Enabling Activity,United Nations Environment Programme,100000,0,Completed,2000,GEF Trust Fund,No,No,GEF - 2,100000
Maloti-Drakensberg Conservation and Development Project,762,Lesotho,Biodiversity,Full-size Project,The World Bank,15250000,18300000,Completed,2000,GEF Trust Fund,No,No,GEF - 2,33550000
"Inventory, Evaluation and Monitoring of Botanical Diversity in Southern Africa: A Regional Capacity and Institution Building Network",407,Lesotho,Biodiversity,Full-size Project,United Nations Development Programme,4725000,4537000,Completed,1997,GEF Trust Fund,No,No,GEF - 1,9262000
Southern Africa Biodiversity Support Programme,260,Lesotho,Biodiversity,Full-size Project,United Nations Development Programme,4500000,4390000,Completed,2000,GEF Trust Fund,No,No,GEF - 1,8890000
Conserving Mountain Biodiversity in Southern Lesotho,245,Lesotho,Biodiversity,Full-size Project,United Nations Development Programme,2485000,9910000,Completed,1999,GEF Trust Fund,No,No,GEF - 1,12395000
"National Biodiversity Strategy and Action Plan, and Country Report to the COP",240,Lesotho,Biodiversity,Enabling Activity,United Nations Development Programme,114480,0,Completed,1996,GEF Trust Fund,No,No,GEF - 1,114480
Enabling Activities for the Implementation of the UNFCCC,169,Lesotho,Climate Change,Enabling Activity,United Nations Environment Programme,350000,0,Completed,1996,GEF Trust Fund,No,No,GEF - 1,350000
Eighth Operational Phase of the GEF Small Grants Programme (Tranche 2),11726,Liberia,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,65420307,65420307,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,130840614
"Promoting Sustainable land management for the achievement of Land Degradation Neutrality for Improved Equity, Sustainability, and Resilience in Rice Landscapes of Liberia",11720,Liberia,"Biodiversity, Climate Change, Land Degradation",Full-size Project,Food and Agriculture Organization,5114019,37582973,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,42696992
Strengthening agricultural resilience through transformational livelihood adaptation in Liberia (SARTLA),11447,Liberia,Climate Change,Full-size Project,United Nations Development Programme,8932420,104688106,Concept Approved,1970,Least Developed Countries Fund,No,No,GEF - 8,113620526
Eighth Operational Phase of the GEF Small Grants Programme (Part 1),11285,Liberia,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,126186603,35000000,Project Approved,2024,GEF Trust Fund,No,No,GEF - 8,161186603
Umbrella Programme to Support NBSAP Update and the 7th National Reports,11281,Liberia,Biodiversity,Enabling Activity,United Nations Environment Programme,36435000,0,Project Approved,2024,GEF Trust Fund,No,No,GEF - 8,36435000
Strengthening conservation and effective governance of Liberia’s critical forests in the Northwest Liberia Landscape,11144,Liberia,"Biodiversity, Climate Change, International Waters, Land Degradation",Full-size Project,Conservation International,3103823,15094863,Project Approved,2024,GEF Trust Fund,No,No,GEF - 8,18198686
"Guinean Forests (GEF-8 Amazon, Congo and Critical Forest Biomes Integrated Program)",11142,Liberia,,PFD,"Conservation International, International Union for Conservation of Nature, Food and Agriculture Organization",0,0,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,0
Umbrella Programme to Support Development of Biodiversity Finance Plans,11054,Liberia,Biodiversity,Enabling Activity,United Nations Development Programme,38190000,0,Project Approved,2023,GEF Trust Fund,No,No,GEF - 8,38190000
Strengthening national-level institutional and professional capacities of country Parties towards enhanced UNCCD monitoring and reporting – GEF 7 EA Umbrella VI,10956,Liberia,Land Degradation,Enabling Activity,United Nations Environment Programme,1917804,0,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,1917804
Global Biodiversity Framework Early Action Support (AFRICA 1),10941,Liberia,Biodiversity,Enabling Activity,United Nations Environment Programme,1917811,0,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,1917811
Umbrella Programme for Preparation of Biennial Transparency Reports (BTRs) and National Communications (NCs) to the UN Framework Convention on Climate Change (UNFCCC),10781,Liberia,Climate Change,Enabling Activity,United Nations Environment Programme,4090130,15000,Project Approved,2021,GEF Trust Fund,No,No,GEF - 7,4105130
GEF SGP 7th Operational Phase - Strategic Implementation using STAR Resources mainly in LDCs and SIDs (Part 3),10655,Liberia,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,43937623,45957000,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,89894623
Support to Preparation of the Fourth National Biosafety Reports to the Cartagena Protocol on Biosafety - AFRICA REGION,10638,Liberia,Biodiversity,Enabling Activity,United Nations Environment Programme,1287000,1246750,Project Approved,2020,GEF Trust Fund,No,No,GEF - 7,2533750
GEF-7 Africa Minigrids Program,10413,Liberia,Climate Change,PFD,"United Nations Development Programme, African Development Bank",33213319,532672000,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 7,565885319
Enhancing the resilience of vulnerable coastal communities in Sinoe County of Liberia,10376,Liberia,Climate Change,Full-size Project,United Nations Development Programme,8932420,11473510,Project Approved,2022,Least Developed Countries Fund,No,No,GEF - 7,20405930
Reducing deforestation from palm oil and cocoa value chains,10232,Liberia,"Biodiversity, Land Degradation",Full-size Project,Conservation International,7139450,66999065,Project Approved,2021,GEF Trust Fund,No,No,GEF - 7,74138515
AFLDC-2 Scaling-up Investment and Technology Transfer to Facilitate Capacity Strengthening and Technical Assistance for the Implementation of Stockholm and Minamata Conventions in African LDCs,10218,Liberia,Chemicals and Waste,Full-size Project,African Development Bank,21300000,237143479,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,258443479
"Food Systems, Land Use and Restoration (FOLUR) Impact Program",10201,Liberia,"Biodiversity, Climate Change, Land Degradation",PFD,"The World Bank, Food and Agriculture Organization, United Nations Environment Programme, United Nations Industrial Development Organization, Conservation International, World Wildlife Fund - US Chapter, International Fund for Agricultural Development, United Nations Development Programme",306439005,-2147483648,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 7,-1841044643
National action plan on mercury in the artisanal and small-scale gold mining sector in Liberia,10134,Liberia,Chemicals and Waste,Enabling Activity,United Nations Industrial Development Organization,500000,0,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,500000
Minamata Initial Assessment in Liberia,10133,Liberia,Chemicals and Waste,Enabling Activity,United Nations Industrial Development Organization,200000,18400,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,218400
Building and Strengthening Liberia’s National Capacity to Implement the Transparency Elements of the Paris Climate Agreement,9923,Liberia,Climate Change,Medium-size Project,Conservation International,1344495,1600000,Completed,2018,CBIT Trust Fund,No,Yes,GEF - 6,2944495
"Strengthening of the Enabling Environment, Ecosystem-based Management and Governance to Support Implementation of the Strategic Action Programme of the Guinea Current Large Marine Ecosystem",9911,Liberia,International Waters,Full-size Project,"United Nations Environment Programme, United Nations Industrial Development Organization, United Nations Development Programme, Food and Agriculture Organization, United Nations Industrial Development Organization, United Nations Development Programme, Food and Agriculture Organization",4416210,47234855,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 6,51651065
Support to Preparation of the Interim National Report on the Implementation of the Nagoya Protocol,9866,Liberia,Biodiversity,Medium-size Project,United Nations Environment Programme,1430000,1111321,Project Approved,2017,GEF Trust Fund,No,No,GEF - 6,2541321
Support to Eligible Parties to Produce the Sixth National Report to the CBD (Africa-2),9824,Liberia,Biodiversity,Medium-size Project,United Nations Environment Programme,1963500,453600,Project Approved,2017,GEF Trust Fund,No,No,GEF - 6,2417100
Conservation and Sustainable use of Liberia’s Coastal Natural Capital,9573,Liberia,"Biodiversity, Land Degradation",Full-size Project,Conservation International,3944220,11194248,Project Approved,2019,GEF Trust Fund,No,No,GEF - 6,15138468
Technology Needs Assessments - Phase III (TNA Phase III),9452,Liberia,Climate Change,Full-size Project,United Nations Environment Programme,6210000,2745000,Project Approved,2018,GEF Trust Fund,No,No,GEF - 6,8955000
Strengthening National Capacities to Meet Global Environmental Obligations with the Framework of Sustainable Development Priorities,9390,Liberia,,Medium-size Project,United Nations Development Programme,1500000,1500000,Completed,2017,GEF Trust Fund,No,No,GEF - 6,3000000
"West Africa Regional Fisheries Program, Additional Financing?",9360,Liberia,International Waters,Full-size Project,The World Bank,10000000,121370000,Completed,2016,GEF Trust Fund,No,No,GEF - 6,131370000
Increasing Energy Access through the Promotion of Energy Efficient Appliances in Liberia,9292,Liberia,Climate Change,Full-size Project,African Development Bank,2639726,40100000,Project Approved,2017,GEF Trust Fund,No,No,GEF - 6,42739726
Support to Preparation of the Third National Biosafety Reports to the Cartagena Protocol on Biosafety - AFRICA REGION,9118,Liberia,Biodiversity,Medium-size Project,United Nations Environment Programme,1368550,1225000,Project Approved,2015,GEF Trust Fund,No,No,GEF - 6,2593550
Enhancing Resilience Of Liberia Montserrado County Vulnerable Coastal Areas To Climate Change Risks,8015,Liberia,Climate Change,Medium-size Project,United Nations Development Programme,2000000,2163540,Completed,2017,Least Developed Countries Fund,No,No,GEF - 6,4163540
Umbrella Programme for Biennial Update Report to the United National Framework Convention on Climate Change (UNFCCC),6925,Liberia,Climate Change,Full-size Project,United Nations Environment Programme,14414400,1393400,Project Approved,2015,GEF Trust Fund,No,No,GEF - 6,15807800
"Improve Sustainability of Mangrove Forests and Coastal Mangrove Areas in Liberia through Protection, Planning and Livelihood Creation- as a Building Block Towards Liberia’s Marine and Costal Protected Areas",5712,Liberia,Biodiversity,Medium-size Project,Conservation International,963994,3650000,Completed,2016,GEF Trust Fund,No,No,GEF - 5,4613994
Enabling Activities to Review and Update the National Implementation Plan for the Stockholm Convention on Persistent Organic Pollutants (POPs,5108,Liberia,Chemicals and Waste,Enabling Activity,United Nations Industrial Development Organization,160000,235000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,395000
Mano River Union Ecosystem Conservation and International Water Resources Management (IWRM) Project,4953,Liberia,"Biodiversity, International Waters, Land Degradation",Full-size Project,International Union for Conservation of Nature,6336364,56390642,Project Approved,2016,GEF Trust Fund,No,No,GEF - 5,62727006
Strengthening Liberia’s Capability to Provide  Climate Information and Services to Enhance Climate Resilient Development and Adaptation to Climate Change,4950,Liberia,Climate Change,Full-size Project,United Nations Development Programme,6730000,11859700,Completed,2013,Least Developed Countries Fund,No,No,GEF - 5,18589700
Support to GEF Eligible Parties for Alignment of  National Action Programs and Reporting  Process under UNCCD,4829,Liberia,Land Degradation,Full-size Project,United Nations Environment Programme,2830000,2750000,Project Approved,2012,GEF Trust Fund,No,No,GEF - 5,5580000
GEF SGP Fifth Operational Phase - Implementing the Program Using STAR Resources II,4678,Liberia,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,72851267,75766000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,148617267
"Demonstration of Effectiveness of Diversified, Environmentally Sound and Sustainable Interventions, and Strengthening National Capacity for Innovative Implementation of Integrated Vector Management (IVM) for Disease Prevention and Control inthe WHO AFRO Region",4668,Liberia,Chemicals and Waste,Full-size Project,United Nations Environment Programme,9550000,243103508,Project Approved,2016,GEF Trust Fund,No,No,GEF - 5,252653508
GEF National Portfolio Formulation Document,4546,Liberia,,Enabling Activity,GEF Secretariat,0,0,Project Approved,2011,GEF Trust Fund,No,No,GEF - 5,0
Support to Preparation of the Second National Biosafety Reports to the Cartagena Protocol on Biosafety-Africa,4523,Liberia,Biodiversity,Medium-size Project,United Nations Environment Programme,993950,840000,Project Approved,2011,GEF Trust Fund,No,No,GEF - 5,1833950
Support to GEF Eligible Parties (LDCs & SIDs) for the Revision of the NBSAPs and Development of Fifth National Report to the CBD - Phase 1,4513,Liberia,Biodiversity,Full-size Project,United Nations Environment Programme,6798000,6650000,Project Approved,2012,GEF Trust Fund,No,No,GEF - 5,13448000
Umbrella Programme for National Communication to the UNFCCC,4498,Liberia,Climate Change,Full-size Project,United Nations Environment Programme,11330000,2013500,Project Approved,2012,GEF Trust Fund,No,No,GEF - 5,13343500
Lighting One Million Lives in Liberia,4336,Liberia,Climate Change,Full-size Project,The World Bank,1454540,4050000,Completed,2011,GEF Trust Fund,No,No,GEF - 5,5504540
Enhancing Resilience to Climate Change by Mainstreaming Adaption Concerns into Agricultural Sector Development in Liberia,4268,Liberia,Climate Change,Full-size Project,United Nations Development Programme,2381400,6345122,Completed,2011,Least Developed Countries Fund,No,No,GEF - 4,8726522
"SPWA-CC Promoting Coherence, Integration and Knowledge Management under Energy Component of SPWA",4178,Liberia,Climate Change,Medium-size Project,United Nations Industrial Development Organization,700000,790000,Completed,2011,GEF Trust Fund,No,No,GEF - 4,1490000
AFLDC: Capacity Strengthening and Technical Assistance for the Implementation of Stockholm Convention National Implementation Plans (NIPs) in African Least Developed Countries (LDCs) of the ECOWAS  Subregion,3969,Liberia,Chemicals and Waste,Full-size Project,"United Nations Environment Programme, United Nations Industrial Development Organization",8000000,11631703,Completed,2011,GEF Trust Fund,No,No,GEF - 4,19631703
SPWA-CC: Installation of multi purpose mini-hydro infrastructure (for energy & irrigation ),3944,Liberia,Climate Change,Full-size Project,United Nations Industrial Development Organization,1758182,4054152,Completed,2012,GEF Trust Fund,No,No,GEF - 4,5812334
Enhancing Resilience of Vulnerable Coastal Areas to Climate Change Risks,3885,Liberia,Climate Change,Full-size Project,United Nations Development Programme,4900000,4653420,Completed,2010,Least Developed Countries Fund,No,No,GEF - 4,9553420
SPWA-BD: Biodiversity Conservation through Expanding the Protected Area Network in Liberia (EXPAN),3837,Liberia,Biodiversity,Medium-size Project,The World Bank,950000,9288000,Completed,2010,GEF Trust Fund,No,No,GEF - 4,10238000
Piloting Integrated Processes and Approaches to Facilitate National Reporting to Rio Conventions,3707,Liberia,,Medium-size Project,United Nations Environment Programme,840000,800880,Project Approved,2009,GEF Trust Fund,No,No,GEF - 4,1640880
SP-SFIF: West Africa Regional Fisheries Program (WARFP),3558,Liberia,International Waters,Full-size Project,The World Bank,10000000,46000000,Completed,2009,GEF Trust Fund,Yes,No,GEF - 3,56000000
Capacity Needs Assessment for the Implementation of Liberia's National Biodiversity Strategy and Action Plan and Country Driven CHM Support,3413,Liberia,Biodiversity,Enabling Activity,United Nations Development Programme,194000,19000,Completed,2008,GEF Trust Fund,No,No,GEF - 4,213000
Consolidation of Liberia's Protected Area Network,3284,Liberia,Biodiversity,Medium-size Project,The World Bank,750000,6630000,Completed,2008,GEF Trust Fund,No,No,GEF - 4,7380000
BS: Support the Implementation of the National Biosafety Framework of Liberia,3040,Liberia,Biodiversity,Medium-size Project,United Nations Environment Programme,577679,530000,Completed,2011,GEF Trust Fund,No,No,GEF - 4,1107679
Preparation of a National Adaptation Plan of Action (NAPA),2414,Liberia,Climate Change,Enabling Activity,United Nations Environment Programme,200000,0,Completed,2003,Least Developed Countries Fund,No,No,GEF - 3,200000
Enabling activities to facilitate early action on the implementation of the Stockholm Convention on Persistent Organic Pollutants (POPs) in Liberia,1923,Liberia,Chemicals and Waste,Enabling Activity,United Nations Industrial Development Organization,372000,0,Completed,2003,GEF Trust Fund,No,No,GEF - 3,372000
National Capacity Self-Assessment (NCSA) for Global Environmental Management,1786,Liberia,,Enabling Activity,United Nations Environment Programme,190000,0,Completed,2004,GEF Trust Fund,No,No,GEF - 3,190000
"Liberia's National Biodiversity Strategy and Action Plan, and Country Report to the COP",1552,Liberia,Biodiversity,Enabling Activity,United Nations Development Programme,256000,0,Completed,2001,GEF Trust Fund,No,No,GEF - 2,256000
Establishing the Basis for Biodiversity Conservation on Sapo National Park and in South-East Liberia,1475,Liberia,Biodiversity,Medium-size Project,The World Bank,975000,1439000,Completed,2004,GEF Trust Fund,No,No,GEF - 3,2414000
Combating Living Resource Depletion and Coastal Area Degradation in the Guinea Current LME through Ecosystem-based Regional Actions,1188,Liberia,International Waters,Full-size Project,"United Nations Development Programme, United Nations Environment Programme",20812699,43971292,Completed,2004,GEF Trust Fund,No,No,GEF - 3,64783991
"Conservation Priority-Setting for the Upper Guinea Forest Ecosystems, West Africa",536,Liberia,Biodiversity,Medium-size Project,United Nations Development Programme,742000,207000,Completed,1998,GEF Trust Fund,No,No,GEF - 1,949000
Conservation International GEF Small Grants Programme 2.0 (CI SGP 2.0),11719,Libya,,Medium-size Project,Conservation International,4300460,6300460,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,10600920
Umbrella Programme to Support Development of Biodiversity Finance Plans,11054,Libya,Biodiversity,Enabling Activity,United Nations Development Programme,38190000,0,Project Approved,2023,GEF Trust Fund,No,No,GEF - 8,38190000
Strengthening national-level institutional and professional capacities of country Parties towards enhanced UNCCD monitoring and reporting – GEF 7 EA Umbrella II,10960,Libya,Land Degradation,Enabling Activity,United Nations Environment Programme,1954338,0,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,1954338
Fisheries and Ecosystem Based Management for the Blue Economy of the Mediterranean  - (FishEBM MED),10560,Libya,"Biodiversity, International Waters",Full-size Project,"Food and Agriculture Organization, United Nations Environment Programme",7273973,72027654,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,79301627
Management Support and Expansion of Marine Protected Areas in Libya.,10158,Libya,Biodiversity,Medium-size Project,United Nations Environment Programme,1376147,5972611,Project Approved,2020,GEF Trust Fund,No,No,GEF - 6,7348758
"GEF Support to UNCCD 2018 National Reporting 
Process - Umbrella III",10003,Libya,Land Degradation,Enabling Activity,United Nations Environment Programme,1981735,372000,Project Approved,2018,GEF Trust Fund,No,No,GEF - 6,2353735
Mediterranean Pollution Hot Spots Investment Project,9717,Libya,"International Waters, Chemicals and Waste",Full-size Project,United Nations Environment Programme,5000000,546451400,Project Approved,2020,GEF Trust Fund,No,No,GEF - 6,551451400
Mediterranean Coastal Zones Climate Resilience Water Security and Habitat Protection,9687,Libya,International Waters,Full-size Project,United Nations Environment Programme,7000000,143270231,Project Approved,2020,GEF Trust Fund,No,No,GEF - 6,150270231
Mediterranean Sea Basin Environment and Climate Regional Support Project,9686,Libya,"International Waters, Chemicals and Waste",Full-size Project,United Nations Environment Programme,2500000,6623920,Project Approved,2020,GEF Trust Fund,No,No,GEF - 6,9123920
Mediterranean Coastal Zones:  Managing the Water-Food-Energy and Ecosystems NEXUS,9685,Libya,International Waters,Full-size Project,United Nations Environment Programme,3500000,11309871,Project Approved,2019,GEF Trust Fund,No,No,GEF - 6,14809871
Reducing  Pollution from Harmful Chemicals and Wastes in Mediterranean Hot Spots and Measuring Progress to Impacts,9684,Libya,"International Waters, Chemicals and Waste",Full-size Project,United Nations Environment Programme,14250000,53146727,Project Approved,2020,GEF Trust Fund,No,No,GEF - 6,67396727
Enhancing Regional Climate Change Adaptation in the Mediterranean Marine and Coastal Areas,9670,Libya,Climate Change,Medium-size Project,United Nations Environment Programme,1000000,4891894,Project Approved,2019,Special Climate Change Fund,No,No,GEF - 6,5891894
