Title,ID,Country,Focal Areas,Type,Agencies,GEF Grant,Cofinancing,Status,Year (aproved year),Funding Source (indexed field),Non-Grant Instrument (indexed field),Capacity-building Initiative for Transparency,GEF Period,Total Fund
Regional Dialogue and Twinning to Improve Transboundary Water Resources Governance in Africa,3341,Africa,International Waters,Medium-size Project,United Nations Development Programme,1000000,1915000,Completed,2007,GEF Trust Fund,No,No,GEF - 4,2915000
Development of Sub-Regional Environmental Action Plans of the New Partnership for Africa's Development (NEPAD),2520,Africa,,Medium-size Project,"United Nations Environment Programme, United Nations Development Programme, The World Bank",1000000,135000,Completed,2004,GEF Trust Fund,No,No,GEF - 3,1135000
Protection of the North West Sahara Aquifer System (NWSAS) and related humid zones and ecosystems,1851,Africa,International Waters,Medium-size Project,United Nations Environment Programme,600000,816000,Completed,2002,GEF Trust Fund,No,No,GEF - 3,1416000
Finalization of the Action Plan on the Environment Component of the New Partnership for Africa's Development,1809,Africa,,Medium-size Project,United Nations Environment Programme,300000,100000,Completed,2002,GEF Trust Fund,No,No,GEF - 3,400000
Eighth Operational Phase of the GEF Small Grants Programme (Tranche 2),11726,Albania,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,65420307,65420307,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,130840614
Eighth Operational Phase of the GEF Small Grants Programme (Part 1),11285,Albania,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,126186603,35000000,Project Approved,2024,GEF Trust Fund,No,No,GEF - 8,161186603
Umbrella Programme to Support NBSAP Update and the 7th National Reports,11281,Albania,Biodiversity,Enabling Activity,United Nations Environment Programme,36435000,0,Project Approved,2024,GEF Trust Fund,No,No,GEF - 8,36435000
Umbrella Programme to Support Development of Biodiversity Finance Plans,11054,Albania,Biodiversity,Enabling Activity,United Nations Development Programme,38190000,0,Project Approved,2023,GEF Trust Fund,No,No,GEF - 8,38190000
Global Biodiversity Framework Early Action Support (Central and Eastern Europe),10944,Albania,Biodiversity,Enabling Activity,United Nations Environment Programme,1643838,0,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,1643838
Mainstreaming Biodiversity in Coastal Development and Planning for Sustainable Tourism Development,10928,Albania,Biodiversity,Medium-size Project,United Nations Development Programme,986900,9500000,Project Approved,2023,GEF Trust Fund,No,No,GEF - 7,10486900
"Review and Update of the National Implementation Plan for the Stockholm Convention on Persistent Organic Pollutants (POPs) in Albania, Armenia and Kazakhstan",10924,Albania,Chemicals and Waste,Enabling Activity,United Nations Environment Programme,939900,60000,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,999900
Achieving biodiversity conservation through effective management and enhanced resilience to climate change in the existing protected area of the North Albanian Mountainous Region,10839,Albania,Biodiversity,Medium-size Project,United Nations Environment Programme,1411188,8710000,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,10121188
Phasing out mercury measuring devices in healthcare,10716,Albania,Chemicals and Waste,Full-size Project,United Nations Environment Programme,7980000,126341676,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,134321676
GEF SGP 7th Operational Phase - Strategic Implementation using STAR Resources mainly in LDCs and SIDs (Part 3),10655,Albania,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,43937623,45957000,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,89894623
"Support to Preparation of the Fourth National Biosafety Reports to the Cartagena Protocol on Biosafety - ASIA-PACIFIC, GRULAC, CENTRAL AND EASTERN EUROPE REGIONS",10639,Albania,Biodiversity,Enabling Activity,United Nations Environment Programme,1424500,1050890,Project Approved,2020,GEF Trust Fund,No,No,GEF - 7,2475390
Electric mobility for sustainable tourism in Albania,10610,Albania,Climate Change,Medium-size Project,United Nations Industrial Development Organization,763242,8889970,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,9653212
Fisheries and Ecosystem Based Management for the Blue Economy of the Mediterranean  - (FishEBM MED),10560,Albania,"Biodiversity, International Waters",Full-size Project,"Food and Agriculture Organization, United Nations Environment Programme",7273973,72027654,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,79301627
Circular Economy Regional Initiative (CERI),10328,Albania,"Climate Change, Chemicals and Waste",Full-size Project,European Bank for Reconstruction and Development,13761468,141880000,Project Approved,2021,GEF Trust Fund,Yes,No,GEF - 7,155641468
Global Programme to Support Countries with the Shift to Electric Mobility.,10114,Albania,Climate Change,PFD,"United Nations Environment Programme, United Nations Development Programme, Asian Development Bank, European Bank for Reconstruction and Development, Development Bank of Southern Africa, United Nations Industrial Development Organization",50137922,651881552,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 7,702019474
GEF Support to UNCCD 2018 National Reporting Process – Umbrella II,9980,Albania,Land Degradation,Enabling Activity,United Nations Environment Programme,1940480,362000,Project Approved,2018,GEF Trust Fund,No,No,GEF - 6,2302480
Long-term Financial Mechanism to Enhance Mediterranean MPA Management Effectiveness,9959,Albania,International Waters,Medium-size Project,Conservation International,908275,9692183,Completed,2018,GEF Trust Fund,No,No,GEF - 6,10600458
Albania's First Biennial Update Report and Fourth National Communication under the UNFCCC,9945,Albania,Climate Change,Enabling Activity,United Nations Development Programme,852000,50000,Completed,2018,GEF Trust Fund,No,No,GEF - 6,902000
Implementation of the SAP of the Dinaric Karst Aquifer System: Improving Groundwater Governance and Sustainability of Related Ecosystems,9919,Albania,International Waters,Full-size Project,United Nations Development Programme,5145000,15050000,Project Approved,2021,GEF Trust Fund,No,No,GEF - 6,20195000
Support to Preparation of the Interim National Report on the Implementation of the Nagoya Protocol,9866,Albania,Biodiversity,Medium-size Project,United Nations Environment Programme,1430000,1111321,Project Approved,2017,GEF Trust Fund,No,No,GEF - 6,2541321
"GEF SGP Sixth Operational Phase- Strategic Implementation using STAR Resources, Tranche 2 (Part IV)",9857,Albania,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,19167177,19934000,Project Approved,2018,GEF Trust Fund,No,No,GEF - 6,39101177
"Support to Eligible Parties to Produce the Sixth National Report to the CBD (Europe, CIS and Mongolia)",9822,Albania,Biodiversity,Medium-size Project,United Nations Environment Programme,1270500,250000,Project Approved,2017,GEF Trust Fund,No,No,GEF - 6,1520500
Mediterranean Pollution Hot Spots Investment Project,9717,Albania,"International Waters, Chemicals and Waste",Full-size Project,United Nations Environment Programme,5000000,546451400,Project Approved,2020,GEF Trust Fund,No,No,GEF - 6,551451400
Financing Advanced Environmental Technologies in the Mediterranean Sea Region for Water Systems and Clean Coasts (EnviTeCC),9691,Albania,"International Waters, Chemicals and Waste",Full-size Project,European Bank for Reconstruction and Development,8750000,90000000,Project Approved,2019,GEF Trust Fund,No,No,GEF - 6,98750000
Mediterranean Coastal Zones Climate Resilience Water Security and Habitat Protection,9687,Albania,International Waters,Full-size Project,United Nations Environment Programme,7000000,143270231,Project Approved,2020,GEF Trust Fund,No,No,GEF - 6,150270231
Mediterranean Sea Basin Environment and Climate Regional Support Project,9686,Albania,"International Waters, Chemicals and Waste",Full-size Project,United Nations Environment Programme,2500000,6623920,Project Approved,2020,GEF Trust Fund,No,No,GEF - 6,9123920
Mediterranean Coastal Zones:  Managing the Water-Food-Energy and Ecosystems NEXUS,9685,Albania,International Waters,Full-size Project,United Nations Environment Programme,3500000,11309871,Project Approved,2019,GEF Trust Fund,No,No,GEF - 6,14809871
Reducing  Pollution from Harmful Chemicals and Wastes in Mediterranean Hot Spots and Measuring Progress to Impacts,9684,Albania,"International Waters, Chemicals and Waste",Full-size Project,United Nations Environment Programme,14250000,53146727,Project Approved,2020,GEF Trust Fund,No,No,GEF - 6,67396727
Enhancing Regional Climate Change Adaptation in the Mediterranean Marine and Coastal Areas,9670,Albania,Climate Change,Medium-size Project,United Nations Environment Programme,1000000,4891894,Project Approved,2019,Special Climate Change Fund,No,No,GEF - 6,5891894
Mediterranean Sea Programme (MedProgramme): Enhancing Environmental Security,9607,Albania,"Biodiversity, International Waters, Chemicals and Waste",PFD,"United Nations Environment Programme, European Bank for Reconstruction and Development",42376147,708000000,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 6,750376147
Implementation of Ecosystem Approach in the Adriatic Sea through Marine Spatial Planning,9545,Albania,"Biodiversity, International Waters",Medium-size Project,United Nations Environment Programme,1817900,12017790,Project Approved,2016,GEF Trust Fund,No,No,GEF - 6,13835690
Promoting Sustainable Land Management (SLM) through Integrated Restoration of Ecosystems,9477,Albania,Land Degradation,Medium-size Project,United Nations Environment Programme,867580,9670000,Project Approved,2017,GEF Trust Fund,No,No,GEF - 6,10537580
Enhancing Financial Sustainability of the Protected Area System,9289,Albania,Biodiversity,Medium-size Project,United Nations Development Programme,1420000,7020000,Completed,2016,GEF Trust Fund,No,No,GEF - 6,8440000
Minamata Initial Assessment for Albania,9122,Albania,Chemicals and Waste,Enabling Activity,United Nations Development Programme,200000,0,Completed,2015,GEF Trust Fund,No,No,GEF - 6,200000
Support to Preparation of the Third National Biosafety Reports to the Cartagena Protocol on Biosafety - GRULAC and CEE REGIONS,9119,Albania,Biodiversity,Medium-size Project,United Nations Environment Programme,1152950,1025000,Project Approved,2015,GEF Trust Fund,No,No,GEF - 6,2177950
Green Logistics Program (non-grant),9047,Albania,Climate Change,Full-size Project,European Bank for Reconstruction and Development,15000000,155250000,Project Approved,2016,GEF Trust Fund,Yes,No,GEF - 6,170250000
Establishing Albania’s Environmental Information Management and Monitoring System Aligned with the Global Environmental Reporting,5638,Albania,,Medium-size Project,United Nations Development Programme,970000,5429700,Completed,2015,GEF Trust Fund,No,No,GEF - 5,6399700
Building the Resilience of Kune-Vaini Lagoon through Ecosytem-based Adaptation (EbA),5386,Albania,Climate Change,Medium-size Project,United Nations Environment Programme,1903000,11528872,Completed,2015,Special Climate Change Fund,No,No,GEF - 5,13431872
Biomass Energy for Productive Use for Small and Medium Enterprises (SMEs) in the Olive Oil Sector,5342,Albania,Climate Change,Medium-size Project,United Nations Industrial Development Organization,927000,4507000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,5434000
Land Degradation Enabling Activities,5039,Albania,Land Degradation,Enabling Activity,"GEF Secretariat, The World Bank",150000,30000,Project Approved,2012,GEF Trust Fund,No,No,GEF - 5,180000
Environmental Services Project,4778,Albania,"Climate Change, Land Degradation",Full-size Project,The World Bank,2884848,22574815,Completed,2014,GEF Trust Fund,No,No,GEF - 5,25459663
GEF SGP Fifth Operational Phase - Implementing the Program Using STAR Resources II,4678,Albania,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,72851267,75766000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,148617267
Revision of the National BD Strategy and Action Plan indlucing the Fifth national Report to the Convention on BD,4595,Albania,Biodiversity,Enabling Activity,GEF Secretariat,220000,55000,Project Approved,2012,GEF Trust Fund,No,No,GEF - 5,275000
Southeastern Europe and Caucasus Catastrophe Risk Insurance Facility (SEEC CRIF),4515,Albania,Climate Change,Full-size Project,The World Bank,5500000,21500000,Completed,2011,Special Climate Change Fund,No,No,GEF - 5,27000000
Enabling Trans-boundary Cooperation and Integrated Water Resources Management in the Extended Drin River Basin,4483,Albania,International Waters,Full-size Project,United Nations Development Programme,4500000,221829721,Completed,2014,GEF Trust Fund,No,No,GEF - 5,226329721
MED: Sustainable Governance and Knowledge Generation,4001,Albania,International Waters,Full-size Project,The World Bank,3000000,4400000,Completed,2011,GEF Trust Fund,No,No,GEF - 4,7400000
Improving Coverage and Management Effectiveness of Marine and Coastal Protected Areas,3997,Albania,Biodiversity,Medium-size Project,United Nations Development Programme,950000,1977500,Completed,2010,GEF Trust Fund,No,No,GEF - 4,2927500
MED: Integration of Climatic Variability and Change into National Strategies to Implement the ICZM Protocol in the Mediterranean,3990,Albania,International Waters,Full-size Project,United Nations Environment Programme,2298545,6176400,Completed,2012,GEF Trust Fund,No,No,GEF - 4,8474945
BS: Capacity Building for the Implementation of the National Biosafety Framework,3895,Albania,Biodiversity,Medium-size Project,United Nations Environment Programme,557200,306600,Completed,2010,GEF Trust Fund,No,No,GEF - 4,863800
Protection and Sustainable Use of the Dinaric Karst Aquifer System,3690,Albania,International Waters,Full-size Project,United Nations Development Programme,2160000,3403570,Completed,2010,GEF Trust Fund,No,No,GEF - 4,5563570
