AID Contribution 000 US$,Magnitude,Latitude,Longitude,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs 000 US$,"Reconstruction Costs, Adjusted 000 US$",Insured Damage 000 US$,"Insured Damage, Adjusted 000 US$",Total Damage 000 US$,"Total Damage, Adjusted 000 US$",CPI,duration,Start Year,Start Year GDP current US$,End Year,End Year GDP current US$
352.2,31809.782,1.3023399999999996,17.088600000000003,357.0,70.6,1302249.0,12013.0,1302249.0,2163200.0,2595410.8,32200.0,48368.2,264592.4,365971.2,9.810138546,1.0,1961.0,57266758180.0,1961.0,57266758180.0
352.2,31809.782,1.3023399999999996,17.088600000000003,202.0,70.6,269005.2,12013.0,264262.0,2163200.0,2595410.8,31400.0,47698.8,264592.4,365971.2,9.810138546,1.0,1961.0,57266758180.0,1961.0,57266758180.0
352.2,31809.782,1.3023399999999996,17.088600000000003,94.0,70.6,269005.2,12013.0,264262.0,2163200.0,2595410.8,31400.0,47698.8,264592.4,365971.2,9.810138546,1.0,1961.0,57266758180.0,1961.0,57266758180.0
352.2,6.8,36.0,136.7,10.0,70.6,269005.2,13859.0,264262.0,2163200.0,2595410.8,31400.0,47698.8,264592.4,365971.2,9.810138546,1.0,1961.0,57266758180.0,1961.0,57266758180.0
731.2,16996.239999999998,14.398599999999998,54.852,249.0,21.4,317470.0,41760.0,348160.0,59000.0,86308.2,164040.0,295723.4,14283.0,30566.0,9.810138546,1.0,1961.0,2417628737.0,1961.0,2417628737.0
7456.0,17208.382,32.1594,53.800799999999995,436.0,3377.4,8199.8,46056.0,5068.8,2486096.8,3426978.4,37432.4,47316.2,441600.0,604424.6,9.810138546,1.0,1961.0,14160000000.0,1961.0,14160000000.0
862.4,174.768,-10.398298,166.2858,200.0,15.4,13014.2,3800.0,7284.6,59000.0,86308.2,38840.0,175866.4,19171.6,50461.0,9.810138546,1.0,1961.0,191659914.4,1961.0,191659914.4
27306.0,249.0,31.282599999999995,81.792,46.0,2205.8,10355350.0,1262800.0,6601459.0,2186589.6,2371549.0,92260.0,163856.0,408000.0,4158963.0,9.810138546,1.0,1961.0,562000000000.0,1961.0,562000000000.0
27306.0,502191.16,31.282600000000002,81.792,100.0,4765.6,9397000.0,1263020.0,3339952.6,2186589.6,2371549.0,92260.0,163856.0,281060.0,1241816.6,9.810138546,1.0,1961.0,562000000000.0,1961.0,562000000000.0
40415.0,3219.6,23.338600000000003,38.733399999999996,33.0,1741.0,2119524.8,151828.8,2209798.6,2520012.6,2992040.6,41120.0,79311.4,1109220.0,3994533.4,9.927744057,1.0,1962.0,42336211556.0,1962.0,42336211556.0
1205.4,6.8,5.173,-76.352,47.0,300.0,26862.8,18500.0,300.0,82600.0,114099.6,110300.0,235808.8,7000.0,9286.4,9.927744057,1.0,1962.0,4955538219.0,1962.0,4955538219.0
1205.4,219.6,9.1068,46.236,135.0,156.8,26862.8,18500.0,28922.8,82600.0,114099.6,110300.0,235808.8,7400.0,12710.2,9.927744057,1.0,1962.0,4955538219.0,1962.0,4955538219.0
293.4,525463.02,19.99222,24.7044,445.0,27.0,20710.4,2139.6,6216.4,2881692.6,3871813.2,56532.4,100351.2,80000.0,805823.0,9.927744057,1.0,1962.0,16609632791.0,1962.0,16609632791.0
1048.0,56527.5,23.99978,21.71488,183.0,62.4,72000.0,7474.4,72000.0,59000.0,86308.2,119500.0,171199.0,28256.6,114509.0,9.927744057,1.0,1962.0,1612346412.0,1962.0,1612346412.0
